Reporting Area,MMWR Year,MMWR Week,"Pertussis, Current week 2021","Pertussis, Previous 52 weeks Max","Pertussis, Cum 2020","Pertussis, Cum 2019"
NEW JERSEY,2020,11,,11,,57
NEW MEXICO,2020,11,1,9,24,48
EAST NORTH CENTRAL,2020,11,12,125,614,565
TENNESSEE,2020,11,,14,43,39
CONNECTICUT,2020,11,,5,3,10
MARYLAND,2020,11,,6,13,22
SOUTH CAROLINA,2020,11,,10,11,55
OKLAHOMA,2020,11,,10,,
NORTHERN MARIANA ISLANDS,2020,11,,0,,
OHIO,2020,11,12,51,298,207
MINNESOTA,2020,11,,15,9,74
LOUISIANA,2020,11,,5,13,23
HAWAII,2020,11,,4,7,5
SOUTH ATLANTIC,2020,11,16,71,316,308
PENNSYLVANIA,2020,11,12,50,261,76
UTAH,2020,11,,12,22,78
COLORADO,2020,11,11,21,114,94
VERMONT,2020,11,,5,9,5
KENTUCKY,2020,11,,14,33,31
PUERTO RICO,2020,11,,0,,
MAINE,2020,11,1,17,24,114
VIRGINIA,2020,11,6,37,51,32
ARIZONA,2020,11,16,24,185,94
AMERICAN SAMOA,2020,11,,0,,
WISCONSIN,2020,11,,42,52,100
IDAHO,2020,11,,17,18,21
U.S. VIRGIN ISLANDS,2020,11,,0,,
MICHIGAN,2020,11,,21,47,84
GEORGIA,2020,11,2,19,49,54
NEW YORK CITY,2020,11,,15,21,42
ARKANSAS,2020,11,,7,21,16
MISSISSIPPI,2020,11,,3,5,12
SOUTH DAKOTA,2020,11,,8,2,45
WYOMING,2020,11,,7,11,
MISSOURI,2020,11,,19,45,62
MIDDLE ATLANTIC,2020,11,22,82,383,284
CALIFORNIA,2020,11,,64,205,503
WEST VIRGINIA,2020,11,,5,5,1
FLORIDA,2020,11,8,22,126,71
MONTANA,2020,11,,95,17,65
WEST NORTH CENTRAL,2020,11,3,46,103,281
MASSACHUSETTS,2020,11,,14,15,58
TOTAL,2020,8,107,453,1764,2161
US RESIDENTS,2020,8,107,453,1764,2161
NEW HAMPSHIRE,2020,8,,5,2,15
NEW YORK,2020,8,11,30,68,75
PACIFIC,2020,8,,86,297,467
WEST SOUTH CENTRAL,2020,8,6,109,88,68
NEBRASKA,2020,8,3,11,22,14
EAST SOUTH CENTRAL,2020,8,1,28,81,94
NORTH DAKOTA,2020,8,,7,9,
NEVADA,2020,8,,6,5,11
ILLINOIS,2020,8,1,45,107,85
IOWA,2020,8,,17,6,32
TEXAS,2020,8,6,104,70,39
ALASKA,2020,8,,4,,3
DISTRICT OF COLUMBIA,2020,8,,4,3,3
WASHINGTON,2020,8,,30,110,71
NEW ENGLAND,2020,8,3,25,49,156
RHODE ISLAND,2020,8,,7,3,
OREGON,2020,8,,20,56,32
DELAWARE,2020,8,,3,6,
ALABAMA,2020,8,,14,15,35
KANSAS,2020,8,,5,,22
NORTH CAROLINA,2020,8,,20,31,47
GUAM,2020,8,,2,,
NEW JERSEY,2020,8,,11,,43
NEW MEXICO,2020,8,,9,16,30
EAST NORTH CENTRAL,2020,8,19,123,448,443
TENNESSEE,2020,8,1,14,33,26
CONNECTICUT,2020,8,,5,1,8
MARYLAND,2020,8,2,6,10,16
SOUTH CAROLINA,2020,8,,11,11,35
